Лес,Описание,"Входные данные, min GSD m/px"
Сегментация, "Выделение сегментационных масок лесных территорий из снимков высокого разрешения", "RGB, 2"
Классификация,"Классификация областей древесно-кустарниковой растительности по высоте.", "RGB, 0.5"
